1 a                   un                                      

7523 haggard             macilento                               

7524 haggle              altercado                               

7525 hail                granizo                                 

7526 hailstone           granizo (piedra de -)                   

7527 hailstorm           granizada                               

7528 hair                pelo                                    

7529 hair-tail           pez sable                               

7530 hairbrush           cepillo para el pelo                    

7531 haircut             corte de pelo                           

7532 hairdo              peinado                                 

7533 hairdresser         peluquero                               

7534 haired              peludo                                  

7535 hairless            pelado                                  

7536 hairnet             redecilla para el pelo                  

7537 hairpiece           pelo                                    

7538 hairpin             horquilla para el pelo                  

7539 hairspring          resorte                                 

7540 hairy               peludo                                  

7541 Haiti               Haití                                   

7542 Haitian             haitiano                                

7543 hake                merluza                                 

7544 hale                sano                                    

7545 half                medio                                   

7546 half-baked          mal concebido                           

7547 half-breed          mestizo                                 

7548 half-day            medio día                               

7549 half-hearted        sin entusiasmo                          

7550 half-height         media altura                            

7551 half-holiday        medio día de vacaciones                 

7552 half-hour           media hora                              

7553 half-mast           media asta                              

7554 half-wit            tonto                                   

7555 halfback            centrocampista                          

7556 halfpenny           medio penique                           

7557 halftone            mediotono                               

7558 halfway             a medio camino                          

7559 halibut             fletán                                  

7560 hall                corredor                                

7561 hallelujah          aleluya                                 

7562 hallmark            contraste                               

7563 hallowed            bendito                                 

7564 Halloween           Víspera de Todos los Santos             

7565 hallucination       alucinación                             

7566 hallway             pasillo                                 

7567 halo                halo                                    

7568 halogen             halógeno                                

7569 halt                detención                               

7570 halter              cabestro                                

7571 halting             cojo                                    

7572 halyard             driza                                   

7573 ham                 jamón                                   

7574 Hamburg             Hamburgo                                

7575 hamburger           hamburguesa                             

7576 hamlet              aldea                                   

7577 hammer              martillo                                

7578 hammerhead          pez martillo                            

7579 hammering           martilleo                               

7580 hammock             hamaca                                  

7581 hamper              cesta                                   

7582 hamstring           tendón de la corva                      

7583 hand                mano                                    

7584 hand-to-hand        de mano a mano                          

7585 handbag             maletín                                 

7586 handball            pelota                                  

7587 handbell            campana de mano                         

7588 handbill            prospecto                               

7589 handbook            manual                                  

7590 handcart            carretilla                              

7591 handcuff            esposas (plural)                        

7592 handful             manojo                                  

7593 handgun             pistola                                 

7594 handhold            asidero                                 

7595 handicap            impedimento                             

7596 handicapped         minusválido                             

7597 handicraft          artesanía                               

7598 handiwork           trabajo manual                          

7599 handkerchief        pañuelo                                 

7600 handle              apodo                                   

7601 handling            manipulación                            

7602 handmade            hecho a mano                            

7603 handmaid            criada                                  

7604 handout             folleto                                 

7605 handrail            barandilla                              

7606 handsaw             serrucho                                

7607 handset             microteléfono                           

7608 handshake           apretón de manos                        

7609 handsome            guapo                                   

7610 handsomeness        hermosura                               

7611 handspring          voltereta sobre las manos               

7612 handwork            obra hecha a mano                       

7613 handwriting         manuscrito                              

7614 handy               hábil                                   

7615 hangar              hangar                                  

7616 hanger              percha                                  

7617 hanging             ahorcamiento                            

7618 hangman             verdugo                                 

7619 hangnail            padrastro                               

7620 hangup              tara                                    

7621 hank                madeja                                  

7622 hankering           ansia                                   

7623 Hanover             Hannóver                                

7624 haphazard           casualidad                              

7625 hapless             desgraciado                             

7626 happening           acontecimiento                          

7627 happiness           felicidad                               

7628 happy               alegre                                  

7629 harassment          fatiga                                  

7630 harbinger           heraldo                                 

7631 harbor              puerto                                  

7632 hard                duro                                    

7633 hard-headed         terco                                   

7634 hard-hearted        insensible                              

7635 hardiness           vigor                                   

7636 hardly              apenas                                  

7637 hardness            dureza                                  

7638 hardship            penalidad                               

7639 hardware            equipo                                  

7640 hardwired           cableado                                

7641 hardwood            madera dura                             

7642 hardy               robusto                                 

7643 harebrained         atolondrado                             

7644 harem               harén                                   

7645 Harlequin           Arlequín                                

7646 harlot              ramera                                  

7647 harm                daño                                    

7648 harmless            indemne                                 

7649 harmonic            armónico                                

7650 harmonica           armónica                                

7651 harmonious          armonioso                               

7652 harmonium           armonio                                 

7653 harmonize           armonizar                               

7654 harmony             armonía                                 

7655 harness             arneses (plural)                        

7656 harp                arpa                                    

7657 harpist             arpista                                 

7658 harpoon             arpón                                   

7659 harpsichord         clavicordio                             

7660 harpy               arpía                                   

7661 harrier             lebrel                                  

7662 harrowing           agudo                                   

7663 harsh               áspero                                  

7664 harshness           aspereza                                

7665 harvest             cosecha                                 

7666 harvester           segador                                 

7667 hash                embrollar                               

7668 hasheesh            hachís                                  

7669 hashish             hachís                                  

7670 hassle              molestia                                

7671 hassock             almohadón                               

7672 haste               prisa                                   

7673 hasty               apresurado                              

7674 hat                 sombrero                                

7675 hatbox              sombrerera                              

7676 hatch               compuerta                               

7677 hatchery            criadero                                

7678 hatchet             hacha de mano                           

7679 hatching            incubación                              

7680 hate                odio                                    

7681 hateful             odioso                                  

7682 hatred              odio                                    

7683 hatter              sombrerero                              

7684 haughtily           orgullosamente                          

7685 haughtiness         orgullo                                 

7686 haughty             orgulloso                               

7687 haul                tirón                                   

7688 haunch              cadera                                  

7689 haunt               guarida                                 

7690 haunting            persistente                             

7691 haven               asilo                                   

7692 haversack           mochila                                 

7693 havoc               estrago                                 

7694 haw                 membrana nictitante                     

7695 Hawaii              Hawai                                   

7696 hawk                halcón                                  

7697 hawker              halconero                               

7698 hawking             cetrería                                

7699 hawser              guindaleza                              

7700 hawthorn            espino                                  

7701 hay                 heno                                    

7702 haycock             almiar                                  

7703 hayfield            henar                                   

7704 hayloft             henil                                   

7705 haymaking           siega del heno                          

7706 hayrick             almiar                                  

7707 haystack            almiar                                  

7708 hazard              peligro                                 

7709 hazardous           arriesgado                              

7710 haze                niebla                                  

7711 hazel               avellano                                

7712 hazy                neblinoso                               

7713 he                  él                                      

7714 head                cabeza                                  

7715 head-on             de frente                               

7716 headache            dolor de cabeza                         

7717 headband            cinta de pelo                           

7718 headboard           cabecero (de la cama)                   

7719 header              encabezamiento                          

7720 headfirst           de cabeza                               

7721 headgear            prenda para la cabeza                   

7722 heading             título                                  

7723 headlamp            faro delantero                          

7724 headland            punta de tierra                         

7725 headless            acéfalo                                 

7726 headlight           faro                                    

7727 headline            titulares (plural)                      

7728 headlong            precipitado                             

7729 headmaster          director de un colegio                  

7730 headmistress        directora de un colegio                 

7731 headphone           auricular                               

7732 headquarters        cuartel general                         

7733 headrest            cabecero                                

7734 headset             auriculares de casco                    

7735 headstone           lápida                                  

7736 headstrong          cabezudo                                

7737 headway             avance                                  

7738 headwork            trabajo mental                          

7739 heady               temerario                               

7740 healer              sanador                                 

7741 healing             cicatrización                           

7742 health              salud                                   

7743 healthful           saludable                               

7744 healthy             sano                                    

7745 heap                cúmulo                                  

7746 hearing             oído                                    

7747 hearsay             rumor                                   

7748 hearse              coche fúnebre                           

7749 heart               corazón                                 

7750 heart-to-heart      franco                                  

7751 heartbeat           latido del corazón                      

7752 heartbreak          angustia                                

7753 heartbreaking       doloroso                                

7754 heartbroken         acongojado                              

7755 heartburn           acedía                                  

7756 heartfelt           cordial                                 

7757 hearth              hogar                                   

7758 heartily            sinceramente                            

7759 heartiness          sinceridad                              

7760 heartless           sin corazón                             

7761 heartsick           dolorido                                

7762 hearty              cordial                                 

7763 heat                calor                                   

7764 heater              calentador                              

7765 heath               brezo                                   

7766 heathen             pagano                                  

7767 heathenism          paganismo                               

7768 heating             calefacción                             

7769 heatstroke          insolación                              

7770 heave               esfuerzo (para levantar)                

7771 heaven              cielo                                   

7772 heavenly            celestial                               

7773 heavily             pesadamente                             

7774 heaviness           pesadez                                 

7775 heavy               pesado                                  

7776 heavyweight         peso pesado                             

7777 Hebrew              hebreo                                  

7778 heckle              interrumpir con preguntas molestas      

7779 hectare             hectárea                                

7780 hectic              agitado                                 

7781 hedge               seto vivo                               

7782 hedgehog            erizo                                   

7783 hedonism            hedonismo                               

7784 heed                atención                                

7785 heedful             atento                                  

7786 heedless            distraído                               

7787 heel                tacón                                   

7788 heft                peso                                    

7789 hefty               pesado                                  

7790 hegemony            hegemonía                               

7791 heifer              vaquilla                                

7792 height              altura                                  

7793 heinous             odioso                                  

7794 heir                heredero                                

7795 heiress             heredera                                

7796 heirloom            reliquia de familia                     

7797 helical             helicoidal                              

7798 helicopter          helicóptero                             

7799 helium              helio                                   

7800 helix               hélice                                  

7801 hell                infierno                                

7802 hellcat             bruja                                   

7803 Hellenism           helenismo                               

7804 hellish             infernal                                

7805 hello               hola                                    

7806 helm                timón                                   

7807 helmet              casco                                   

7808 helmeted            con casco                               

7809 helminth            helminto                                

7810 helmsman            timonel                                 

7811 help                ayuda                                   

7812 helper              auxiliar                                

7813 helpful             útil                                    

7814 helpfulness         utilidad                                

7815 helpless            desvalido                               

7816 Helsinki            Helsinki                                

7817 hem                 dobladillo                              

7818 hematuria           hematuria                               

7819 hemiplegia          hemiplejía                              

7820 hemisphere          hemisferio                              

7821 hemlock             abeto                                   

7822 hemoglobin          hemoglobina                             

7823 hemophilia          hemofilia                               

7824 hemorrhage          hemorragia                              

7825 hemorrhoid          hemorroide                              

7826 hemp                cáñamo                                  

7827 hemstitch           vainica                                 

7828 hen                 gallina                                 

7829 hence               por tanto                               

7830 henceforth          de aquí en adelante                     

7831 henceforward        de aquí en adelante                     

7832 henchman            secuaz                                  

7833 henna               alheña                                  

7834 heparin             heparina                                

7835 hepatic             hepático                                

7836 hepatitis           hepatitis                               

7837 herald              heraldo                                 

7838 heraldic            heráldico                               

7839 heraldry            heráldica                               

7840 herb                hierba                                  

7841 herbaceous          herbáceo                                

7842 herbal              herbario                                

7843 herbalist           botánico                                

7844 herbarium           herbario                                

7845 herbivorous         herbívoro                               

7846 herd                manada                                  

7847 herdsman            pastor                                  

7848 here                aquí                                    

7849 hereafter           de ahora en adelante                    

7850 hereditary          hereditario                             

7851 heredity            herencia                                

7852 herein              aquí dentro                             

7853 hereinafter         después                                 

7854 heresy              herejía                                 

7855 heretic             hereje                                  

7856 heretical           herético                                

7857 hereto              a esto                                  

7858 heretofore          hasta aquí                              

7859 hereunder           bajo esto                               

7860 hereupon            en esto                                 

7861 herewith            adjunto                                 

7862 heritage            herencia                                

7863 hermetic            hermético                               

7864 hermit              ermitaño                                

7865 hermitage           ermita                                  

7866 hernia              hernia                                  

7867 hero                héroe                                   

7868 heroic              heroico                                 

7869 heroically          heroicamente                            

7870 heroics             verso épico                             

7871 heroin              heroína                                 

7872 heroine             heroína                                 

7873 heroism             heroísmo                                

7874 heron               garza                                   

7875 herpes              herpes                                  

7876 herring             arenque                                 

7877 hertz               hercio                                  

7878 Herzegovina         Herzegovina                             

7879 hesitancy           vacilación                              

7880 hesitant            vacilante                               

7881 hesitation          vacilación                              

7882 Hesse               Hesse                                   

7883 heterogeneity       heterogeneidad                          

7884 heterogeneous       heterogéneo                             

7885 heterosexual        heterosexual                            

7886 hexadecimal         hexadecimal                             

7887 hexagon             hexágono                                

7888 hexagonal           hexagonal                               

7889 hey                 eh                                      

7890 hi                  hola                                    

7891 hi-end              gama alta                               

7892 hi-fi               alta fidelidad                          

7893 hiatus              hiato                                   

7894 hibernation         hibernación                             

7895 hibiscus            hibisco                                 

7896 hiccup              hipo                                    

7897 hickory             nogal americano                         

7898 hidden              escondido                               

7899 hide-and-seek       escondite ( juego del -)                

7900 hide-out            escondite                               

7901 hidebound           de miras estrechas                      

7902 hideous             horroroso                               

7903 hiding              ocultamiento                            

7904 hierarchical        jerárquico                              

7905 hierarchy           jerarquía                               

7906 hieroglyphic        jeroglífico                             

7907 high                alto                                    

7908 high-fidelity       alta fidelidad                          

7909 highbrow            intelectual                             

7910 highland            sierra                                  

7911 highlight           resaltado                               

7912 highly              muy                                     

7913 highness            alteza                                  

7914 highway             carretera                               

7915 highwayman          bandolero                               

7916 hijacker            secuestrador                            

7917 hike                excursión                               

7918 hilarious           alegre                                  

7919 hilariousness       hilaridad                               

7920 hilarity            hilaridad                               

7921 hill                colina                                  

7922 hillside            ladera                                  

7923 hilltop             cumbre                                  

7924 hilt                puño                                    

7925 hind                posterior                               

7926 hindmost            último                                  

7927 hindquarter         cuarto trasero                          

7928 hindrance           estorbo                                 

7929 Hindu               hindú                                   

7930 Hinduism            hinduismo                               

7931 hinge               bisagra                                 

7932 hint                indirecta                               

7933 hinterland          interior (región -)                     

7934 hip                 cadera                                  

7935 hippopotamus        hipopótamo                              

7936 hireling            asalariado                              

7937 Hispanic            hispano                                 

7938 hiss                siseo                                   

7939 histogram           histograma                              

7940 historian           historiador                             

7941 historic            histórico                               

7942 historical          histórico                               

7943 historically        históricamente                          

7944 history             historia                                

7945 histrionic          histriónico                             

7946 hit                 acierto                                 

7947 hitch               tirón                                   

7948 hitch-hiking        autostop                                

7949 hitchhiker          autostopista                            

7950 hither              aquí                                    

7951 hitherto            hasta aquí                              

7952 hive                colmena                                 

7953 hoard               tesoro                                  

7954 hoarder             atesorador                              

7955 hoarfrost           escarcha                                

7956 hoarse              ronco                                   

7957 hoary               cano                                    

7958 hoax                bola (o)                                

7959 hob                 duende                                  

7960 hobble              cojera                                  

7961 hobby               afición                                 

7962 hobo                vagabundo                               

7963 hock                corvejón                                

7964 hockey              jockey                                  

7965 hod                 cuezo                                   

7966 hodgepodge          almodrote                               

7967 hoe                 azada                                   

7968 hog                 cerdo                                   

7969 hogshead            pipa                                    

7970 hold                agarre                                  

7971 holder              poseedor                                

7972 holdup              atraco                                  

7973 hole                agujero                                 

7974 holiday             fiesta (día de -)                       

7975 holiness            santidad                                

7976 Holland             Holanda                                 

7977 hollow              hondonada                               

7978 holly               acebo                                   

7979 hollyhock           malvarrosa                              

7980 holocaust           holocausto                              

7981 hologram            holograma                               

7982 holograph           hológrafo                               

7983 holography          holografía                              

7984 holster             pistolera                               

7985 holy                santo                                   

7986 homage              homenaje                                

7987 home                hogar                                   

7988 homeland            patria                                  

7989 homeless            sin techo                               

7990 homely              sencillo                                

7991 homemade            casero                                  

7992 homeostasis         homeóstasis                             

7993 Homer               Homero                                  

7994 homesick            nostálgico                              

7995 homesickness        nostalgia                               

7996 homestead           hogar                                   

7997 homeward            hacia casa                              

7998 homework            deberes (escolares)                     

7999 homicidal           homicida                                

8000 homicide            homicidio                               

8001 homily              homilía                                 

8002 homogeneity         homogeneidad                            

8003 homogeneous         homogéneo                               

8004 homograph           homógrafo                               

8005 homologous          homólogo                                

8006 homonym             homónimo                                

8007 homonymous          homónimo                                

8008 homophone           homófono                                

8009 homosexual          homosexual                              

8010 homosexuality       homosexualidad                          

8011 Honduran            hondureño                               

8012 Honduras            Honduras                                

8013 hone                piedra de afilar                        

8014 honest              honrado                                 

8015 honestly            honestamente                            

8016 honesty             honestidad                              

8017 honey               miel                                    

8018 honeybee            abeja                                   

8019 honeycomb           panal de miel                           

8020 honeymoon           luna de miel                            

8021 honeysuckle         madreselva                              

8022 honk                graznido (de ganso)                     

8023 honor               honor                                   

8024 honorable           honorable                               

8025 honorary            honorario                               

8026 hood                capucha                                 

8027 hoodlum             matón                                   

8028 hoof                casco                                   

8029 hoofed              ungulado                                

8030 hook                anzuelo                                 

8031 hooked              encorvado                               

8032 hooker              prostituta                              

8033 hookup              montaje                                 

8034 hooligan            golfo                                   

8035 hoop                aro                                     

8036 hoot                grito                                   

8037 hop                 brinco                                  

8038 hope                esperanza                               

8039 hopeful             esperanzado                             

8040 hopeless            desesperado                             

8041 hopelessly          desesperadamente                        

8042 hopper              tolva                                   

8043 horde               horda                                   

8044 horizon             horizonte                               

8045 horizontal          horizontal                              

8046 hormonal            hormonal                                

8047 hormone             hormona                                 

8048 horn                cuerno                                  

8049 horned              astado                                  

8050 hornet              avispón                                 

8051 horny               corneo                                  

8052 horoscope           horóscopo                               

8053 horrendous          horrendo                                

8054 horrible            horrible                                

8055 horribly            horriblemente                           

8056 horrid              hórrido                                 

8057 horror              horror                                  

8058 horse               caballo                                 

8059 horse-mackerel      jurel                                   

8060 horseback           a caballo                               

8061 horseflesh          carne de caballo                        

8062 horsehair           pelo de caballo                         

8063 horseman            jinete                                  

8064 horsemanship        equitación                              

8065 horseplay           payasada                                

8066 horsepower          caballo de fuerza                       

8067 horseradish         rábano picante                          

8068 horsetail           cola de caballo                         

8069 horsewoman          amazona                                 

8070 horsy               caballar                                

8071 hortatory           exhortatorio                            

8072 horticultural       hortícola                               

8073 horticulture        horticultura                            

8074 horticulturist      horticultor                             

8075 hose                manguera                                

8076 hosier              calcetero                               

8077 hosiery             calcetería                              

8078 hospitable          hospitalario                            

8079 hospital            hospital                                

8080 hospitality         hospitalidad                            

8081 hospitalization     hospitalización                         

8082 host                anfitrión                               

8083 hostage             rehén                                   

8084 hostel              posada                                  

8085 hostelry            posada                                  

8086 hostile             hostil                                  

8087 hostility           hostilidad                              

8088 hot                 caliente                                

8089 hot-headed          impulsivo                               

8090 hotbed              estercolero                             

8091 hotdog              perrito caliente                        

8092 hotel               hotel                                   

8093 hothead             impetuoso                               

8094 hotheaded           impetuoso                               

8095 hothouse            invernadero                             

8096 hotlist             lista de interés                        

8097 hotly               calurosamente                           

8098 hotspot             zona caliente                           

8099 hound               galgo                                   

8100 hour                hora                                    

8101 hourglass           reloj de arena                          

8102 hourly              cada hora                               

8103 house               casa                                    

8104 housebreaker        ladrón                                  

8105 housebreaking       robo con escalo                         

8106 housefly            mosca común                             

8107 household           casa                                    

8108 householder         cabeza de familia                       

8109 housekeeper         ama de casa                             

8110 housekeeping        gobierno de la casa                     

8111 housemaid           criada                                  

8112 housewife           ama de casa                             

8113 housework           labores domésticas                      

8114 housing             albergue                                

8115 hovel               cabaña                                  

8116 how                 cómo                                    

8117 however             sin embargo                             

8118 howitzer            obús                                    

8119 howl                aullido                                 

8120 howler              aullador                                

8121 howsoever           como quiera que                         

8122 hub                 cubo (de una rueda)                     

8123 hubbub              alboroto                                

8124 hucho               salmón de danubio                       

8125 huddle              montón                                  

8126 hue                 tinte                                   

8127 huff                enojo                                   

8128 huffy               enojadizo                               

8129 hug                 abrazo                                  

8130 huge                grande                                  

8131 hulk                casco                                   

8132 hulking             tosco                                   

8133 hull                cáscara                                 

8134 hum                 zumbido                                 

8135 human               humano                                  

8136 humanism            humanismo                               

8137 humanist            humanista                               

8138 humanitarian        humanitario                             

8139 humanity            humanidad                               

8140 humanly             humanamente                             

8141 humble              humilde                                 

8142 humbleness          humildad                                

8143 humbug              farsa                                   

8144 humdrum             aburrido                                

8145 humerous            húmero                                  

8146 humerus             húmero                                  

8147 humid               húmedo                                  

8148 humidifier          humectador                              

8149 humidity            humedad                                 

8150 humiliating         humillante                              

8151 humiliation         humillación                             

8152 humility            humildad                                

8153 humming             zumbador                                

8154 humor               humor                                   

8155 humorist            humorista                               

8156 humorous            cómico                                  

8157 humour              humor                                   

8158 hump                joroba                                  

8159 humpback            jorobado                                

8160 humus               humus                                   

8161 hunch               joroba                                  

8162 hunchback           giba                                    

8163 hunderweight        quintal                                 

8164 hundred             cien                                    

8165 hundredth           centésima                               

8166 hundredweight       quintal                                 

8167 Hungarian           húngaro                                 

8168 Hungary             Hungría                                 

8169 hunger              hambre                                  

8170 hungrily            con hambre                              

8171 hungry              hambriento                              

8172 hunk                trozo                                   

